image_urls,chip_info
"['http://themogh.org/cg_pix/nv/nvnl111.jpg', 'http://themogh.org/cg_pix/nv/nvnl112.jpg']","Became: 101 Club Bonbeck, Inc. 2540 & 2557 N. Main St. N. Las Vegas, Nevada 89030 MAP Type: Land Based Status : Closed Open: 1955/1980, Close: 1968/1980s"
[],
[],
[],
"['http://themogh.org/cg_pix/nv/45178.jpg', 'http://themogh.org/cg_pix/nv/45178a.jpg']",CG045178 Obsolete Denom: 25¢ Issued: 1961 Added: 2011-09-29 Last Update: 2022-06-18 Color: Yellow Mold: H&C (CJ) Inlay: HS-Gold Logo: 101 Catalog#: N3936 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/s/19605.jpg', 'http://themogh.org/cg_pix/nv/s/19605a.jpg']",CG019605 Obsolete Denom: $1 Issued: 1961 Last Update: 2018-12-25 Color: Dk Blue Mold: H&C (CJ) Inlay: HS-Gold Logo: 101 Catalog#: N3846 Contributed by: Ernie Molinari Show
"['http://themogh.org/cg_pix/nv/048212.jpg', 'http://themogh.org/cg_pix/nv/048212a.jpg']",CG048212 Obsolete Denom: $5 Issued: 1961 Added: 2015-04-22 Last Update: 2018-12-25 Color: Red Mold: H&C (CJ) Inlay: HS-Gold Logo: 101 Catalog#: D1780 Contributed by: Alex Cilento Show
"['http://themogh.org/cg_pix/nv/45179.jpg', 'http://themogh.org/cg_pix/nv/45179a.jpg']",CG045179 Obsolete Denom: $5 Issued: 1961 Added: 2011-09-29 Last Update: 2018-12-25 Color: Red Mold: HCE Inlay: HS-Gold Logo: 101 Catalog#: N4115 Contributed by: Alex Cilento Show
[],
"['http://themogh.org/cg_pix/nv/45116.jpg', 'http://themogh.org/cg_pix/nv/45116a.jpg']",CG045116 Obsolete Added: 2011-09-27 Last Update: 2011-09-27 Color: BRASS Contributed by: Gary Acquistapace Show
[],
[],
['http://themogh.org/cg_pix/nv/286125.jpg'],CG286125 Issued: 1965 Added: 2022-06-09 Mftr: T. R. King Contributed by: David Sarles Show
[],
['http://themogh.org/cg_pix/nv/45117.jpg'],CG045117 Added: 2011-09-27 Last Update: 2011-09-27 Show
['http://themogh.org/cg_pix/nv/45118.jpg'],CG045118 Added: 2011-09-27 Last Update: 2011-09-27 Show
['http://themogh.org/cg_pix/nv/179006.jpg'],CG179006 Added: 2017-04-30 Color: Black Contributed by: Bill Judge Show
[],
"['http://themogh.org/cg_pix/nv/193298.jpg', 'http://themogh.org/cg_pix/nv/193298a.jpg']",CG193298 Added: 2018-01-20 Color: Yellow Mftr: Cardboard Inlay: HS Black Contributed by: John K. Kallman Show
"['http://themogh.org/cg_pix/nv/174999.jpg', 'http://themogh.org/cg_pix/nv/174999a.jpg']",CG174999 Added: 2017-01-17 Contributed by: John K. Kallman Encased Coin Show
[],
