image_urls,chip_info
['http://themogh.org/cg_pix/nv/nvfasc2.jpg'],"98 S Maine St Fallon, Nevada 89406 MAP Type: Land Based Status : Closed Open: 1931, Close: 1985"
[],
[],
[],
['http://themogh.org/cg_pix/nv/070149.jpg'],CG070149 Obsolete Issued: 1952 Added: 2018-01-07 Last Update: 2020-03-07 Color: Red Mold: Arodie Inlay: HS-Gold Logo: SAGE BRUSH Catalog#: N7010 Contributed by: David Sarles Show
[],"CG121432 Obsolete Denom: $1 Issued: 1951 Added: 2014-01-31 Last Update: 2018-01-07 Color: Beige Mold: LCrown Inlay: HS-Gold Logo: Cowboy, Bronco Catalog#: E2420 Pic cowboy, bronco, no print Show"
['http://themogh.org/cg_pix/nv/17736.jpg'],CG017736 Obsolete Denom: $1 Issued: 1960 Last Update: 2014-01-31 Color: PURPLE Inserts: 3-Yellow Mold: H&C (CJ) Inlay: HS-GOLD Logo: SAGE BRUSH CLUB Catalog#: N3333 Contributed by: Greg Susong Show
['http://themogh.org/cg_pix/nv/19536.jpg'],CG019536 Obsolete Denom: $1 Issued: 1968 Last Update: 2014-01-31 Color: PINK Inserts: 3-Tan-R Mold: SCrown Inlay: HS-GOLD Logo: SAGEBRUSH CLUB Catalog#: N3335 Contributed by: Terry Shaffer Show
[],CG121433 Obsolete Denom: $1 Issued: 1980 Added: 2014-01-31 Last Update: 2014-01-31 Color: Gray Inserts: 3-Yellow Mold: H&C (SCV) Inlay: HS-GOLD Catalog#: N3332 Show
['http://themogh.org/cg_pix/nv/68985.jpg'],CG068985 Obsolete Denom: $5 Issued: 1950s Added: 2012-03-24 Last Update: 2012-03-24 Color: Yellow Mold: LCrown Inlay: HS-GOLD Catalog#: N5034 Contributed by: Bill Lange Show
"['http://themogh.org/cg_pix/nv/178938.jpg', 'http://themogh.org/cg_pix/nv/178938a.jpg']",CG178938 Obsolete Denom: $5 Issued: 1950s Added: 2017-04-30 Color: Orange Mold: LCrown Inlay: HS-GOLD Catalog#: NotInTCR Contributed by: David Sarles Al Childers. 1949-1950 Show
['http://themogh.org/cg_pix/nv/101633.jpg'],CG101633 Obsolete Denom: $5 Issued: 1968 Added: 2013-04-21 Last Update: 2013-04-21 Color: TURQUOISE Inserts: 3 Gray Mold: SCrown Inlay: HS-GOLD Catalog#: N6612 Contributed by: Ross Poppel Show
['http://themogh.org/cg_pix/nv/67505.jpg'],CG067505 Obsolete Denom: $25 Issued: 1956 Added: 2012-03-13 Last Update: 2012-03-13 Color: GRAY Inserts: 3 Yellow Mold: SCrown Inlay: HS-GOLD Catalog#: N6613 Contributed by: Bill Lange Show
[],
['http://themogh.org/cg_pix/nv/67504.jpg'],"CG067504 Obsolete Series: 100 Issued: 1960 Added: 2012-03-13 Last Update: 2018-01-07 Color: Red Mold: H&C (CJ) Inlay: HS-Gold Logo: Sage Brush Club Catalog#: N3334.rd Contributed by: Gary Acquistapace CG067504 - Red - Shown CG181565 - Beige CG181566 - Light Green Contributors: Gary Acquistapace, David Sarles Show"
['http://themogh.org/cg_pix/nv/181567.jpg'],CG181567 Obsolete Series: 110 Issued: 1971 Added: 2017-07-03 Last Update: 2018-01-07 Color: Green Mold: SCrown Inlay: HS-Gold Logo: Sage Brush Club Catalog#: N6873 Contributed by: David Sarles CG181567 - Green - Shown CG181568 - White Show
[],
"['http://themogh.org/cg_pix/nv/144737.jpg', 'http://themogh.org/cg_pix/nv/144737a.jpg']",CG144737 Obsolete Added: 2015-06-13 Last Update: 2016-01-03 Color: Nickel Contributed by: Ross McCammon Free Drink Show
"['http://themogh.org/cg_pix/nv/201686.jpg', 'http://themogh.org/cg_pix/nv/201686a.jpg']",CG201686 Obsolete Added: 2018-05-27 Color: Red Mftr: Plain Inlay: HS White Contributed by: John K. Kallman Free Drink Show
[],
[],
['http://themogh.org/cg_pix/nv/251216.jpg'],CG251216 Added: 2020-09-07 Last Update: 2022-06-26 Color: Green Contributed by: Richard Siri Show
[],
"['http://themogh.org/cg_pix/nv/286179.jpg', 'http://themogh.org/cg_pix/nv/286179a.jpg']",CG286179 Issued: 1940 Added: 2022-06-09 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/286180.jpg'],CG286180 Issued: 1949 Added: 2022-06-09 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227639.jpg'],CG227639 Issued: 1952 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227640.jpg'],CG227640 Issued: 1956 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227650.jpg'],CG227650 Issued: 1956 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227641.jpg'],CG227641 Issued: 1968 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227648.jpg'],CG227648 Issued: 1968 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227651.jpg'],CG227651 Issued: 1968 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227642.jpg'],CG227642 Issued: 1969 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/182185.jpg'],CG182185 Issued: 1971 Added: 2017-07-17 Last Update: 2017-07-17 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227645.jpg'],CG227645 Issued: 1971 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227646.jpg'],CG227646 Issued: 1971 Added: 2019-08-01 Last Update: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227647.jpg'],CG227647 Issued: 1971 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227644.jpg'],CG227644 Issued: 1972 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227649.jpg'],CG227649 Issued: 1972 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
['http://themogh.org/cg_pix/nv/227643.jpg'],CG227643 Issued: 1973 Added: 2019-08-01 Mftr: T.R. King Contributed by: David Sarles Show
[],
"['http://themogh.org/cg_pix/nv/046725.jpg', 'http://themogh.org/cg_pix/nv/046725a.jpg']","CG046725 Added: 2014-11-29 Last Update: 2014-11-29 Color: Red Mftr: Lion Match Inc. Contributed by: Don Lueders Red cover with black print, front striker, inside is blank.
Note: match says ""here since 1929"". Club database currently says 1931 (when gambling legalized again). Are the dates supposed to be for the casino or for the club (bar)? Show"
"['http://themogh.org/cg_pix/nv/048158.jpg', 'http://themogh.org/cg_pix/nv/048158a.jpg']","CG048158 Added: 2015-01-07 Color: Yellow Mftr: Chicago Match Co. Contributed by: Don Lueders Yellow/black print, front striker, 5 digit phone number, inside has local bus schedule. Show"
"['http://themogh.org/cg_pix/nv/048159.jpg', 'http://themogh.org/cg_pix/nv/048159a.jpg']","CG048159 Added: 2015-01-07 Color: Yellow Mftr: The H.W. Singleton Co. Contributed by: Don Lueders Yellow/black print, front striker, 3 digit phone number (rural party line), inside has mileage chart. Show"
"['http://themogh.org/cg_pix/nv/048162.jpg', 'http://themogh.org/cg_pix/nv/048162a.jpg']","CG048162 Added: 2015-01-07 Color: Orange Mftr: Lion Match Contributed by: Don Lueders Orange/black print, front striker, 3 digit phone number (rural party line), no mention of gaming, inside has mileage chart. 
Probably 1940s. Show"
['http://themogh.org/cg_pix/nv/195044.jpg'],"CG195044 Added: 2018-02-22 Last Update: 2018-02-22 Color: White Mftr: Ohio Match Company Contributed by: Doug Deems Inside blank
Phone 135W
Sportsmen's Headquarters, Ammunition Hunting and Fishing Information Show"
['http://themogh.org/cg_pix/nv/251217.jpg'],CG251217 Added: 2020-09-07 Color: Gray Mftr: Lion Match Show
['http://themogh.org/cg_pix/nv/251218.jpg'],CG251218 Added: 2020-09-07 Color: White Mftr: Lion Match Show
[],
"['http://themogh.org/cg_pix/nv/224531.jpg', 'http://themogh.org/cg_pix/nv/224531a.jpg']",CG224531 Show Casinos Added: 2019-05-31 Last Update: 2021-12-21 Catalog#: SC8890 Show
[],
